,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Benzinga'}",Tyler Bundy,Palantir Stock Trades Higher: A Technical Analysis - Benzinga,"Palantir Technology Inc. (NYSE:PLTR) shares were trading higher Thursday.

...",https://www.benzinga.com/trading-ideas/long-ideas/21/03/20344890/palantir-stock-trades-higher-a-technical-analysis,https://cdn2.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/palantirfoundryscreenshot_1_6.png,2021-03-25T19:06:00Z,"Palantir Technology Inc. (NYSE:PLTR) shares were trading higher Thursday.
Cathie Wood’s Ark Investment Management (NYSE:ARKK) Innovation ETF bought 1,209,900 shares of Palantir, representing about 0… [+1543 chars]"
1,"{'id': 'business-insider', 'name': 'Business Insider'}",Emily Graffeo,Palantir jumps after securing 5-year contract with National Nuclear Security Administration (PLTR),"Summary List PlacementShares of Palantir gained 3.47% early Monday after securing a five-year contract with the National Nuclear Security Administration (NNSA).
The data surveillance company announced it was selected by the NNSA to provide its Office of Safet…",https://www.businessinsider.com/palantir-stock-price-national-nuclear-security-administration-contract-pltr-2021-4,https://i.insider.com/605213680347cb00184b63a3?width=1200&format=jpeg,2021-04-05T13:16:57Z,"Shares of Palantir gained 3.47% early Monday after securing a five-year contract with the National Nuclear Security Administration (NNSA).
The data surveillance company announced it was selected by … [+946 chars]"
2,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Former Credit Suisse exec backed SPAC to take robotics firm Sarcos public - Reuters,"Sarcos Robotics Inc said on Tuesday it will go public through a merger with a blank-check firm backed by former Credit Suisse USA chief Brian Finn, in a deal valuing the combined company at $1.3 billion.",https://www.reuters.com/article/us-sarcos-m-a-rotor-acqsn-idUSKBN2BT19S,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-04-06T10:53:00Z,"By Reuters Staff
(Reuters) - Sarcos Robotics Inc said on Tuesday it will go public through a merger with a blank-check firm backed by former Credit Suisse USA chief Brian Finn, in a deal valuing the… [+1347 chars]"
3,"{'id': None, 'name': 'Slashdot.org'}",BeauHD,Coinbase Sets Direct Listing For April 14,"Coinbase, the largest U.S. cryptocurrency exchange, said it's planning to make its trading debut on April 14. Bloomberg reports: The company's registration statement for the listing has been declared effective by the U.S. Securities and Exchange Commission, C…",https://slashdot.org/story/21/04/01/2124242/coinbase-sets-direct-listing-for-april-14,https://a.fsdn.com/sd/topics/bitcoin_64.png,2021-04-02T01:25:00Z,"The company's registration statement for the listing has been declared effective by the U.S. Securities and Exchange Commission, Coinbase said Thursday in a statement confirming a Bloomberg News repo… [+915 chars]"
4,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Breakingviews - Capital Calls - Cellebrite good times - Reuters,"SOMETHING TO CELLEBRITE. Controversy over cops breaking into people’s cellphones is heading to a stock exchange near you. Israeli digital intelligence outfit Cellebrite is merging with a special-purpose acquisition company, TWC Tech Holdings II, at an equity …",https://www.reuters.com/article/us-global-finance-breakingviews-idUSKBN2BV2UN,https://static.reuters.com/resources/r/?m=02&d=20210408&t=2&i=1557761488&r=LYNXMPEH371E3&w=800,2021-04-08T19:41:00Z,"By Reuters Staff
A Cellebrite forensic device extracts data from a Samsung mobile phone during a demonstration at a training centre in Beijing, China June 19, 2018. REUTERS/Cate Cadell
NEW YORK (Re… [+1723 chars]"
5,"{'id': 'business-insider', 'name': 'Business Insider'}",Matthew Fox,"Dow, S&P 500 close at record highs as strong jobs report boosts economic optimism","Summary List Placement<ul>
<li>US stocks hit record highs on Monday as investors cheered Friday's strong jobs report.</li>
<li>The US added 916,000 jobs in March, beating the projected gains of 660,000.</li>
<li>The S&P 500 and Dow Jones Industrial Average bo…",https://www.businessinsider.com/stock-market-news-today-dow-sp500-close-record-highs-jobs-report-2021-4,https://i.insider.com/606b6503a7d803001963ece8?width=1200&format=jpeg,2021-04-05T20:07:22Z,"US stocks closed at record highs on Monday as investors cheered Friday's strong jobs report. The stock market was closed on Friday in observance of Good Friday.
The US added 916,000 jobs in March, b… [+1585 chars]"
6,"{'id': 'business-insider', 'name': 'Business Insider'}",Isabelle Lee,Sarcos Robotics eyes $1.3 billion valuation in merger with SPAC backed by ex Credit Suisse exec,"Summary List PlacementSarcos Robotics announced it will go public through a merger with a blank-check company Rotor Acquisition that will value the combined company at $1.3 billion, in a statement released Tuesday.
The special purpose acquisition company, or …",https://markets.businessinsider.com/news/stocks/sarcos-robotics-credit-suisse-13-billion-valuation-merger-spac-ipo-2021-4-1030277183,https://images2.markets.businessinsider.com/606c58e8856cd700198a351f?format=jpeg,2021-04-06T13:11:49Z,"Sarcos Robotics Named 2021 Product Innovation Award Winner by IEEE Robotics and Automation Society for the Guardian XO Exoskeleton (Photo: Business Wire)
(Photo: Business Wire)
Sarcos Robotics anno… [+1505 chars]"
7,"{'id': None, 'name': 'Gizmodo.com'}",Victoria Song,Microsoft Lands $22 Billion to Put Custom HoloLens Headsets on U.S. Soldiers,"In late 2018, Microsoft struck a $480 million deal with the U.S. Army to deliver augmented reality headset prototypes based on its HoloLens system. Well, it appears the military is a fan because it’s inked a contract to get a whole lot more of them. As in, ov…",https://gizmodo.com/microsoft-lands-22-billion-to-put-custom-hololens-head-1846597839,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dbqa7gir7cuzy7qffvff.png",2021-04-01T16:38:00Z,"In late 2018, Microsoft struck a $480 million deal with the U.S. Army to deliver augmented reality headset prototypes based on its HoloLens system. Well, it appears the military is a fan because its … [+4245 chars]"
8,"{'id': None, 'name': 'Yahoo Entertainment'}",Associated Press,Syria: Israeli strikes near capital Damascus wound 4 troops,"Israel carried out a missile attack near the Syrian capital of Damascus and its southern suburbs early Thursday that wounded four soldiers, Syria’s state...",https://news.yahoo.com/syria-israel-fired-missiles-suburbs-224222017.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,2021-04-07T22:42:22Z,Palantir Technologies has secured an $89.9 million contract from the National Nuclear Security Administration (NNSA) for five years. Shares of the software company closed 1.6% higher on Monday. Notab… [+2183 chars]
9,"{'id': 'reuters', 'name': 'Reuters'}","David French, Anirban Sen",Exclusive: Robinhood aims to allow users to buy into IPOs - sources - Reuters,"Robinhood Markets Inc is building a platform to ""democratize"" initial public offerings (IPOs), including its own, that would allow users of its trading app to snap up shares alongside Wall Street funds, according to people familiar with the matter.",https://www.reuters.com/article/us-robinhood-ipo-distribution-exclusive-idUSKBN2BH36G,https://static.reuters.com/resources/r/?m=02&d=20210325&t=2&i=1556240937&r=LYNXMPEH2O1RT&w=800,2021-03-25T20:11:00Z,"(Reuters) - Robinhood Markets Inc is building a platform to democratize initial public offerings (IPOs), including its own, that would allow users of its trading app to snap up shares alongside Wall … [+3748 chars]"
